age_of_driver,gender,marital_status,safety_rating,annual_income,high_education,address_change,property_status,accident_site,past_num_of_claims,witness_present,liab_prct,channel,police_report,age_of_vehicle,vehicle_category,vehicle_price,vehicle_color,total_claim,injury_claim,policy deductible,annual premium,days open,form defects,claim_month,claim_weekday,claim_year,zip_region,claim_to_price,injury_share,claim_to_income,premium_to_income,claim_to_deductible,fraud_reported
39.0,M,1.0,73,58612.8,1,0,Own,Highway,0,0.0,25,Phone,0,8.0,Large,24360.59273,silver,26633.27819,5196.552552,1000,1406.91,8.641800488,5,8.0,5.0,2023.0,5,1.0932935205680732,0.1951150179385741,0.45439354867103443,0.02400345999467687,26.63327816336672,0
33.0,M,1.0,72,35936.0,0,1,Own,Local,0,1.0,45,Phone,0,2.0,Medium,23457.35282,black,26707.46021,7957.267641,2000,1415.74,10.00976115,5,10.0,4.0,2024.0,5,1.1385538860160882,0.2979417577760779,0.7431951304891141,0.03939614870771939,13.353730098323135,1
31.0,M,1.0,76,84940.8,1,1,Own,Local,0,0.0,100,Phone,0,7.0,Medium,19752.42523,gray,15279.38583,3014.110884,1000,1199.44,8.264031851,3,12.0,5.0,2023.0,1,0.7735448002617982,0.19726649469671345,0.1798827634048669,0.014120893610442558,15.279385814720614,0
53.0,F,1.0,93,73526.4,0,1,Own,Parking Lot,0,0.0,100,Phone,0,1.0,Medium,32910.34224,red,20909.27772,5671.599025,500,708.64,9.235943007,4,2.0,6.0,2024.0,8,0.6353406344693381,0.2712479646919508,0.28437782510384874,0.009637898768202471,41.818555356362886,0
41.0,M,1.0,87,59403.2,1,0,Own,Local,0,0.0,25,Phone,0,6.0,Medium,28570.37675,red,34493.97997,4064.569489,1000,1187.96,10.25962917,2,9.0,2.0,2024.0,8,1.2073337453904127,0.11783416968459977,0.5806754513127126,0.019998249252228865,34.49397993550602,0
42.0,F,0.0,68,29779.2,1,0,Own,Local,0,1.0,84,Phone,1,4.0,Medium,12689.88429,white,6535.967672,2812.365265,2000,972.18,9.443031698,2,5.0,6.0,2024.0,8,0.5150533702372274,0.4302905714509338,0.2194809689911253,0.0326462765946484,3.267983834366008,1
50.0,M,1.0,89,62611.2,1,1,Rent,Parking Lot,0,0.0,10,Phone,0,6.0,Large,53451.42101,silver,7131.377201,5712.282494,2000,1104.5,8.588020977,3,5.0,3.0,2024.0,2,0.13341791604628067,0.8010069208508541,0.11389938542762479,0.0176406138196099,3.5656885987171556,0
42.0,F,1.0,68,79776.0,1,0,Own,Parking Lot,1,0.0,77,Phone,1,2.0,Large,17740.69947,black,28271.74319,9218.58245,1000,1088.34,10.20650635,2,8.0,3.0,2023.0,8,1.5936092731977491,0.32607053578976464,0.35438907929258945,0.013642448856628029,28.271743161728256,0
30.0,F,1.0,79,34419.0,1,1,Own,Parking Lot,0,0.0,61,Phone,0,7.0,Medium,28091.43192,silver,15488.98712,3973.694785,1000,988.45,7.041739847,3,9.0,4.0,2024.0,5,0.5513776287217694,0.25654968617105095,0.4500126999491556,0.028718149858255087,15.488987104511013,1
49.0,F,0.0,57,62248.0,1,0,Own,Local,0,0.0,18,Phone,1,10.0,Large,23264.32531,blue,33770.80035,4264.395565,2000,1155.55,9.49194457,5,7.0,0.0,2023.0,8,1.4516131415181102,0.12627463728065674,0.5425202472281435,0.018563648630983105,16.885400166557297,0
70.0,M,1.0,58,67980.8,1,0,Own,Local,0,0.0,50,Phone,0,5.0,Compact,29214.5357,black,19172.68928,2417.922997,500,1451.62,7.454180856,4,11.0,2.0,2024.0,2,0.6562722569417294,0.12611287657992482,0.28203094520391003,0.021353382131111234,38.34537848330924,0
