Model,Sampling_Strategy,PCA_Used,Accuracy,Precision,Recall,F1,ROC_AUC,PR_AUC,Fraud_Precision,Fraud_Recall,Fraud_F1,Threshold
HistGradientBoosting,none,No,0.4306,0.6107,0.601,0.4301,0.6589,0.435,0.2939,0.9365,0.4473,0.18
LightGBM,none,No,0.405,0.6287,0.5978,0.4015,0.6579,0.4332,0.2898,0.9776,0.4471,0.15
LightGBM (tuned),none,No,0.4103,0.6221,0.5975,0.4078,0.6575,0.4331,0.2902,0.9661,0.4464,0.18
GradientBoosting,none,No,0.4201,0.6121,0.597,0.4189,0.6569,0.4324,0.2911,0.9454,0.4452,0.2
HistGradientBoosting(balanced),class_weight,No,0.425,0.616,0.6016,0.424,0.6553,0.4306,0.2934,0.9492,0.4482,0.35
GradientBoosting (tuned),none,No,0.4135,0.6143,0.5951,0.4118,0.6536,0.4298,0.2897,0.9526,0.4442,0.2
Voting(soft: HGB+LGBM+GB+LR),none,No,0.4151,0.6207,0.5993,0.4131,0.6564,0.428,0.2914,0.9619,0.4473,0.26
HistGradientBoosting+rus,RandomUnderSampler,No,0.4071,0.6226,0.5961,0.4042,0.6543,0.4277,0.2894,0.9682,0.4456,0.33
HistGradientBoosting+smotenc+rus,SMOTENC+RandomUnderSampler,No,0.4115,0.6233,0.5987,0.409,0.6551,0.4272,0.2908,0.9674,0.4472,0.22
HistGradientBoosting+ros,RandomOverSampler,No,0.413,0.6209,0.5983,0.4108,0.6512,0.427,0.2908,0.9632,0.4468,0.3
HistGradientBoosting (tuned),none,No,0.4091,0.6237,0.5977,0.4063,0.6544,0.4261,0.2902,0.9691,0.4466,0.2
HistGradientBoosting+smotenc,SMOTENC,No,0.4283,0.6076,0.5981,0.4278,0.6552,0.4255,0.2925,0.9322,0.4452,0.21
LogisticRegression+smotenc+rus,SMOTENC+RandomUnderSampler,No,0.4183,0.6117,0.596,0.417,0.6535,0.4249,0.2905,0.9458,0.4445,0.25
LogisticRegression+smotenc,SMOTENC,No,0.4143,0.6085,0.5923,0.4128,0.652,0.4247,0.2887,0.9428,0.442,0.21
RandomForest (tuned),none,No,0.4085,0.6156,0.5933,0.4062,0.6514,0.424,0.2885,0.9572,0.4434,0.21
Bagging(tree),none,No,0.3861,0.6316,0.5886,0.38,0.6437,0.4218,0.2846,0.9873,0.4418,0.13
BalancedBagging,internal undersampling,No,0.3896,0.6303,0.59,0.384,0.6465,0.4201,0.2854,0.9848,0.4426,0.3
RandomForest(balanced_subsample),class_weight,No,0.4011,0.6251,0.5941,0.3975,0.6457,0.42,0.288,0.9742,0.4446,0.28
LogisticRegression(balanced)+PCA95,class_weight,Yes (95% var),0.3981,0.6334,0.5961,0.3935,0.6499,0.4199,0.2885,0.986,0.4464,0.38
RandomForest,none,No,0.4088,0.6179,0.5946,0.4063,0.6435,0.4196,0.289,0.9606,0.4443,0.19
LogisticRegression+rus,RandomUnderSampler,No,0.3985,0.6308,0.5953,0.3942,0.6484,0.4185,0.2882,0.9826,0.4457,0.35
LogisticRegression (tuned),class_weight,No,0.3993,0.6323,0.5963,0.3949,0.6485,0.4183,0.2887,0.9843,0.4464,0.36
LogisticRegression(balanced),class_weight,No,0.3996,0.6324,0.5965,0.3952,0.6483,0.4182,0.2888,0.9843,0.4465,0.36
LogisticRegression,none,No,0.4008,0.6314,0.5968,0.3967,0.6479,0.4181,0.289,0.9826,0.4466,0.16
LogisticRegression+ros,RandomOverSampler,No,0.3973,0.6329,0.5954,0.3926,0.6455,0.418,0.2881,0.9856,0.4459,0.34
"LinearSVC(balanced,calibrated)",class_weight,No,0.4029,0.6262,0.5956,0.3994,0.6477,0.418,0.2888,0.975,0.4456,0.17
BalancedRandomForest,internal undersampling,No,0.4013,0.6245,0.5939,0.3976,0.6428,0.4162,0.288,0.9733,0.4444,0.38
SGD-log(balanced),class_weight,No,0.4103,0.6084,0.5904,0.4085,0.6407,0.4145,0.2875,0.9449,0.4409,0.26
"Perceptron(balanced,calibrated)",class_weight,No,0.4061,0.5892,0.5775,0.405,0.6326,0.413,0.2821,0.9149,0.4312,0.2
HistGradientBoosting+PCA95,none,Yes (95% var),0.4257,0.593,0.5876,0.4255,0.6406,0.4114,0.2881,0.9064,0.4372,0.17
ExtraTrees(balanced),class_weight,No,0.4491,0.5836,0.5888,0.4488,0.6399,0.4099,0.2912,0.864,0.4356,0.36
"DecisionTree(d5,balanced)",class_weight,No,0.391,0.6245,0.5884,0.3861,0.6396,0.4089,0.285,0.9771,0.4412,0.46
EasyEnsemble,internal undersampling,No,0.3892,0.6302,0.5898,0.3835,0.6399,0.4083,0.2853,0.9848,0.4424,0.48
"MLP(64,32)",none,No,0.3981,0.6135,0.5871,0.3948,0.6325,0.4035,0.2851,0.9593,0.4396,0.16
"SVC-rbf(balanced,calibrated)",class_weight,No,0.4238,0.595,0.5882,0.4234,0.6365,0.3957,0.2881,0.9119,0.4378,0.18
AdaBoost,none,No,0.3871,0.6304,0.5887,0.3811,0.6341,0.3835,0.2847,0.9856,0.4418,0.37
KNN(k=25),none,No,0.427,0.5567,0.5601,0.4267,0.6037,0.3752,0.2765,0.8221,0.4139,0.2
GaussianNB,none,No,0.39,0.5514,0.5468,0.3894,0.5859,0.3478,0.2682,0.8556,0.4084,0.13
